Symbol,Description,Quantity,Cost Basis,Market Value,Unrealized P&L,Currency,Expiry,Strike,Type,Strategy,Underlying
AEVA  260320P00012500,AEVA 20MAR26 12.5 P,-1,-168.99796,-102.5,66.49796,USD,20MAR26,12.5,P,P Sold,AEVA
AEVA  260417P00012500,AEVA 17APR26 12.5 P,-4,-564.09184,-630.04,-65.94816,USD,17APR26,12.5,P,P Sold,AEVA
INTC  260417P00036000,INTC 17APR26 36 P,-2,-237.14592,-185.0,52.14592,USD,17APR26,36,P,P Sold,INTC
INTC  260417P00041000,INTC 17APR26 41 P,-1,-196.51796,-208.21,-11.69204,USD,17APR26,41,P,P Sold,INTC
INTC  260515P00035000,INTC 15MAY26 35 P,-1,-361.23311,-124.15,237.08311,USD,15MAY26,35,P,P Sold,INTC
INTC  260515P00038000,INTC 15MAY26 38 P,-1,-207.94796,-202.1,5.84796,USD,15MAY26,38,P,P Sold,INTC
INTC  270319P00045000,INTC 19MAR27 45 P,-1,-1108.94796,-975.0,133.94796,USD,19MAR27,45,P,P Sold,INTC
INTC  271217P00018000,INTC 17DEC27 18 P,-1,-419.348284,-124.89,294.458284,USD,17DEC27,18,P,P Sold,INTC
INTC  271217P00020000,INTC 17DEC27 20 P,-5,-2026.666,-778.7,1247.966,USD,17DEC27,20,P,P Sold,INTC
INTC  271217P00022000,INTC 17DEC27 22 P,-2,-881.16682,-413.68,467.48682,USD,17DEC27,22,P,P Sold,INTC
INTC  271217P00027000,INTC 17DEC27 27 P,-2,-1364.59312,-706.96,657.63312,USD,17DEC27,27,P,P Sold,INTC
INTC  271217P00030000,INTC 17DEC27 30 P,-1,-898.94656,-473.44,425.50656,USD,17DEC27,30,P,P Sold,INTC
INTC  271217P00035000,INTC 17DEC27 35 P,-1,-1249.36656,-685.0,564.36656,USD,17DEC27,35,P,P Sold,INTC
INTC  271217P00045000,INTC 17DEC27 45 P,-1,-1144.19796,-1220.0,-75.80204,USD,17DEC27,45,P,P Sold,INTC
INTC  280121P00040000,INTC 21JAN28 40 P,-1,-1245.95131,-951.93,294.02131,USD,21JAN28,40,P,P Sold,INTC
INTC  280121P00042000,INTC 21JAN28 42 P,-1,-1325.94656,-1054.34,271.60656,USD,21JAN28,42,P,P Sold,INTC
INTC  280121P00045000,INTC 21JAN28 45 P,-1,-1394.98311,-1232.63,162.35311,USD,21JAN28,45,P,P Sold,INTC
OUST  270115P00007000,OUST 15JAN27 7 P,-2,-415.87852,-141.76,274.11852,USD,15JAN27,7,P,P Sold,OUST
RDW   260402C00010000,RDW 02APR26 10 C,-12,-1261.17552,-1372.56,-111.38448,USD,02APR26,10,C,C Sold,RDW
RDW   260515P00009000,RDW 15MAY26 9 P,-1,-154.94796,-150.78,4.16796,USD,15MAY26,9,P,P Sold,RDW
RDW   260515P00010000,RDW 15MAY26 10 P,-1,-144.74796,-216.0,-71.25204,USD,15MAY26,10,P,P Sold,RDW
RDW   270115P00012000,RDW 15JAN27 12 P,-5,-2974.53955,-2612.95,361.58955,USD,15JAN27,12,P,P Sold,RDW
RDW   280121P00010000,RDW 21JAN28 10 P,-2,-1112.03107,-1056.72,55.31107,USD,21JAN28,10,P,P Sold,RDW
RKLB  260417C00100000,RKLB 17APR26 100 C,-6,-2592.73966,-1694.7,898.03966,USD,17APR26,100,C,C Sold,RKLB
RKLB  260417C00105000,RKLB 17APR26 105 C,-24,-8192.99464,-5340.0,2852.99464,USD,17APR26,105,C,C Sold,RKLB
RKLB  260717P00039000,RKLB 17JUL26 39 P,-1,-537.23311,-207.54,329.69311,USD,17JUL26,39,P,P Sold,RKLB
RKLB  261218P00040000,RKLB 18DEC26 40 P,-1,-1019.95131,-506.1,513.85131,USD,18DEC26,40,P,P Sold,RKLB
RKLB  270115P00025000,RKLB 15JAN27 25 P,-2,-1529.15852,-343.62,1185.53852,USD,15JAN27,25,P,P Sold,RKLB
RKLB  280121P00040000,RKLB 21JAN28 40 P,-2,-2494.14202,-2090.24,403.90202,USD,21JAN28,40,P,P Sold,RKLB
RKLB  280121P00050000,RKLB 21JAN28 50 P,-1,-2325.95131,-1591.79,734.16131,USD,21JAN28,50,P,P Sold,RKLB
RKLB  280121P00055000,RKLB 21JAN28 55 P,-4,-9554.50524,-7463.4,2091.10524,USD,21JAN28,55,P,P Sold,RKLB
WOLF  260320P00015000,WOLF 20MAR26 15 P,-1,-159.29796,-36.5,122.79796,USD,20MAR26,15,P,P Sold,WOLF
WOLF  260320C00020000,WOLF 20MAR26 20 C,-1,-93.94796,-214.78,-120.83204,USD,20MAR26,20,C,C Sold,WOLF
ZENA  280121P00005000,ZENA 21JAN28 5 P,-5,-1566.50655,-1781.55,-215.04345,USD,21JAN28,5,P,P Sold,ZENA
